,num,ra,dec,Rmag,redshift,ra_galex,dec_galex,fuv_mag,nuv_mag,fuv_magerr,nuv_magerr,fuv_flux,nuv_flux,fuv_fluxerr,nuv_fluxerr,angularsep
157,305,13.49828,-28.44296,22.78,0.42898,13.4930474484958,-28.4486737339632,-999.0,22.49389,-999.0,0.4384741,-999.0,3.651285,-999.0,1.474212,26.408951542869126
158,306,13.49233,-28.44914,21.67,0.84358,13.4930474484958,-28.4486737339632,-999.0,22.49389,-999.0,0.4384741,-999.0,3.651285,-999.0,1.474212,2.8239391934749056
159,307,13.54239,-28.43648,22.34,0.2922,13.5426368011134,-28.4355063238924,-999.0,21.88143,-999.0,0.3986853,-999.0,6.418395,-999.0,2.35628,3.591249970689601
160,308,13.54824,-28.43737,22.23,0.77452,13.5426368011134,-28.4355063238924,-999.0,21.88143,-999.0,0.3986853,-999.0,6.418395,-999.0,2.35628,18.96420963188535
161,309,13.5121,-28.45078,22.4,0.63843,13.4930474484958,-28.4486737339632,-999.0,22.49389,-999.0,0.4384741,-999.0,3.651285,-999.0,1.474212,60.78086886676957
162,313,13.51541,-28.46216,22.43,0.55905,13.5314230771042,-28.4560117831223,20.42286,21.14517,0.2524262,0.2552243,24.59552,12.64537,5.7169,2.971828,55.30321624307651
163,315,13.49381,-28.47166,21.52,0.43526,13.4939062547521,-28.4728670083685,-999.0,22.47713,-999.0,0.5523269,-999.0,3.708066,-999.0,1.885879,4.355893612419626
164,317,13.5485,-28.46065,22.52,0.82372,13.5501596525058,-28.4500201579951,21.88131,-999.0,0.5069563,-999.0,6.419154,-999.0,2.996529,-999.0,38.626281102355826
165,318,13.55532,-28.46298,22.49,0.68151,13.5501596525058,-28.4500201579951,21.88131,-999.0,0.5069563,-999.0,6.419154,-999.0,2.996529,-999.0,49.431643419550056
166,319,13.52622,-28.47446,22.78,0.43446,13.5288634718256,-28.4815045368373,-999.0,22.06759,-999.0,0.4295586,-999.0,5.407095,-999.0,2.138733,26.704302989799498
167,321,13.47218,-28.38214,22.34,0.29288,13.4668126381701,-28.381504035936,-999.0,22.77099,-999.0,0.5976278,-999.0,2.828804,-999.0,1.556696,17.153401534843198
168,322,13.49444,-28.38793,22.73,0.2935,13.4882921962302,-28.3740332823152,-999.0,22.62969,-999.0,0.5434973,-999.0,3.221977,-999.0,1.612464,53.68404128475427
169,323,13.6721,-28.35075,22.51,0.47625,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,223.91096408264312
170,324,13.70106,-28.35907,21.73,0.67462,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,309.3775042914964
171,325,13.68849,-28.3607,20.04,0.27305,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,269.2018405236774
172,326,13.65925,-28.36345,21.58,0.23782,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,176.0937034074674
173,327,13.68553,-28.36552,22.19,0.72289,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,258.986140827442
174,328,13.63425,-28.36858,21.99,0.2897,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,96.74492749621716
175,329,13.62035,-28.37125,23.01,0.43,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,54.9733826278561
176,331,13.65331,-28.38267,21.27,0.40777,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,167.0772466204937
177,332,13.61999,-28.38764,20.83,0.56238,13.5972151912932,-28.386749195014,-999.0,22.59516,-999.0,0.5067923,-999.0,3.326096,-999.0,1.552154,72.20174791215942
178,333,13.62463,-28.39138,21.16,0.27287,13.5972151912932,-28.386749195014,-999.0,22.59516,-999.0,0.5067923,-999.0,3.326096,-999.0,1.552154,88.41036786930388
179,334,13.6476,-28.39347,21.54,0.51703,13.5972151912932,-28.386749195014,-999.0,22.59516,-999.0,0.5067923,-999.0,3.326096,-999.0,1.552154,161.39407604781124
180,335,13.68894,-28.39788,20.77,0.58321,13.6037837909162,-28.3666998071794,22.02232,21.27307,0.5074556,0.3573066,5.637349,11.24014,2.634166,3.698138,292.1376896683133
181,336,13.68966,-28.40089,22.12,0.53926,13.5972151912932,-28.386749195014,-999.0,22.59516,-999.0,0.5067923,-999.0,3.326096,-999.0,1.552154,297.15822594208106
182,337,13.67589,-28.40264,20.94,0.58288,13.5972151912932,-28.386749195014,-999.0,22.59516,-999.0,0.5067923,-999.0,3.326096,-999.0,1.552154,255.63784307069483
183,338,13.69517,-28.40534,21.69,0.58162,13.5972151912932,-28.386749195014,-999.0,22.59516,-999.0,0.5067923,-999.0,3.326096,-999.0,1.552154,317.3460372288715
184,339,13.67653,-28.40619,21.79,0.58367,13.5972151912932,-28.386749195014,-999.0,22.59516,-999.0,0.5067923,-999.0,3.326096,-999.0,1.552154,260.7455028876667
185,340,13.69514,-28.41351,20.67,0.36274,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,312.7065327813773
186,341,13.68472,-28.41552,21.86,0.58636,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,279.2656586704446
187,343,13.69146,-28.41983,21.69,0.58715,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,294.48538599829476
188,344,13.65692,-28.42336,22.75,0.51819,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,187.0403259309345
189,345,13.64935,-28.42739,22.65,0.56301,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,159.40493995488768
190,346,13.61543,-28.42873,21.44,3.86968,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,66.63067824890881
191,348,13.62145,-28.43262,22.36,0.79,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,71.56006028048434
192,349,13.61574,-28.4352,20.33,0.48309,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,51.34496006295087
193,350,13.67487,-28.4372,21.21,0.41731,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,230.67920632499073
194,351,13.67146,-28.43893,20.73,0.58218,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,219.4078263983498
