,num,ra,dec,Rmag,redshift,ID,KIDS_TILE,RAJ2000,DECJ2000,FLUX_RADIUS,CLASS_STAR,MAG_GAAP_u,MAG_GAAP_g,MAG_GAAP_r,MAG_GAAP_i,MAG_GAAP_Z,MAG_GAAP_Y,Z_B,Z_ML,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,angularsep
17,49,13.52328,-28.40698,21.87,0.68613,KiDSDR4 J005405.599-282425.51 ,KIDS_13.5_-28.2 ,13.523333000000001,-28.407088,3.299690008163452,0.01707836054265499,23.42422103881836,22.983985900878906,22.237287521362305,21.579023361206055,21.38834571838379,21.17757797241211,0.72,0.73,0.07635658234357834,0.05949652940034866,0.04115942120552063,0.030585860833525658,0.42347484103981803
18,51,13.49064,-28.41398,21.28,0.62989,KiDSDR4 J005357.763-282450.60 ,KIDS_13.5_-28.2 ,13.490680000000001,-28.414057,3.0044820308685303,0.029697740450501442,22.44399070739746,22.176136016845703,21.551288604736328,21.26082420349121,21.114721298217773,20.870502471923828,0.59,0.58,0.07275047153234482,0.05668666958808899,0.0392155796289444,0.02914137952029705,0.30476339928115187
19,55,13.5805,-28.43802,20.55,0.44889,KiDSDR4 J005419.328-282617.18 ,KIDS_13.5_-28.2 ,13.580537,-28.438108,3.3724610805511475,0.03237299993634224,23.000699996948242,22.581790924072266,21.08049201965332,20.422210693359375,19.950557708740234,19.76093101501465,0.55,0.58,0.07497555017471313,0.058420438319444656,0.04041498899459839,0.030032670125365257,0.33775877769186474
20,57,13.57522,-28.43688,20.89,0.21729,KiDSDR4 J005418.063-282613.04 ,KIDS_13.5_-28.2 ,13.575266,-28.436957,3.365048885345459,0.035680320113897324,23.601606369018555,22.406131744384766,21.261531829833984,20.79897117614746,20.388338088989258,20.299915313720703,0.58,0.58,0.07503824681043625,0.05846929922699928,0.040448788553476334,0.030057789757847786,0.31312096648810295
21,58,13.5673,-28.38054,21.4,0.63131,KiDSDR4 J005416.162-282250.20 ,KIDS_13.5_-28.2 ,13.567342,-28.380613,3.2972640991210938,0.06040402874350548,,23.776729583740234,21.90176773071289,20.91624641418457,20.40512466430664,20.07550621032715,0.6,0.59,0.0824701264500618,0.06426016241312027,0.04445488005876541,0.03303473815321922,0.2945506500897795
22,59,13.56647,-28.39309,22.16,0.89,KiDSDR4 J005415.967-282335.43 ,KIDS_13.5_-28.2 ,13.566533,-28.393176,3.2210400104522705,0.013868209905922413,23.342105865478516,22.72860336303711,22.431838989257812,22.499271392822266,22.15522003173828,21.707447052001953,0.13,0.11,0.08114059269428253,0.0632241889834404,0.04373820126056671,0.03250217065215111,0.3683195385407912
23,61,13.56739,-28.43768,21.52,0.48582,KiDSDR4 J005416.183-282615.96 ,KIDS_13.5_-28.2 ,13.567433,-28.437769,2.770817995071411,0.029362089931964874,23.450387954711914,22.854209899902344,21.792470932006836,21.4288330078125,21.106122970581055,20.736988067626953,0.56,0.56,0.07476037740707397,0.05825278162956238,0.040299009531736374,0.029946479946374893,0.348116520472813
24,62,13.52963,-28.35402,0.0,0.32338,KiDSDR4 J005407.392-282111.14 ,KIDS_13.5_-28.2 ,13.530801,-28.353096999999998,1.1351089477539062,0.5245602130889893,,,25.209209442138672,,26.58884048461914,25.506807327270508,1.0,0.24000000000000002,0.08207696676254272,0.06395381689071655,0.04424294829368591,0.03287725895643234,4.9803753885149264
25,66,13.54741,-28.40509,24.63,0.44613,KiDSDR4 J005411.395-282418.24 ,KIDS_13.5_-28.2 ,13.547483,-28.405068,2.4789340496063232,0.5454282760620117,,24.818078994750977,23.777212142944336,23.512908935546875,24.005807876586914,23.505428314208984,0.5700000000000001,0.09,0.07849421352148056,0.061162158846855164,0.04231169819831848,0.03144212067127228,0.24435189032745738
26,67,13.54758,-28.42003,22.36,0.52542,KiDSDR4 J005411.427-282512.40 ,KIDS_13.5_-28.2 ,13.547614,-28.420112,3.363055944442749,0.004827401135116816,23.54671859741211,23.566858291625977,22.714820861816406,22.181747436523438,21.87818717956543,22.012439727783203,0.6699999999999999,0.6699999999999999,0.07688722759485245,0.05991001054644585,0.04144546017050743,0.030798420310020447,0.31421530499848227
